~/HirewayManager$ python3 scripts/import_onet_to_db.py
2025-01-03 02:29:25,989 - INFO - Starting data import process...
2025-01-03 02:29:25,989 - INFO - Reading CSV files...
2025-01-03 02:29:26,026 - INFO - Successfully read 1016 occupations and 55120 alternative titles
2025-01-03 02:29:26,504 - INFO - Successfully connected to database
2025-01-03 02:29:26,505 - INFO - Processing major groups...
2025-01-03 02:29:26,668 - INFO - Inserted 23 major groups
2025-01-03 02:29:26,668 - INFO - Processing minor groups...
2025-01-03 02:29:26,829 - INFO - Inserted 113 minor groups
2025-01-03 02:29:26,829 - INFO - Processing alternative titles...
2025-01-03 02:29:28,749 - INFO - Processing detailed occupations...
2025-01-03 02:29:28,780 - WARNING - Duplicate SOC code found: 29-1229, skipping...
2025-01-03 02:29:28,780 - WARNING - Duplicate SOC code found: 29-1229, skipping...
2025-01-03 02:29:28,780 - WARNING - Duplicate SOC code found: 29-1299, skipping...
2025-01-03 02:29:28,780 - WARNING - Duplicate SOC code found: 29-1299, skipping...
2025-01-03 02:29:28,781 - WARNING - Duplicate SOC code found: 29-2011, skipping...
2025-01-03 02:29:28,781 - WARNING - Duplicate SOC code found: 29-2011, skipping...
2025-01-03 02:29:28,781 - WARNING - Duplicate SOC code found: 29-2011, skipping...
2025-01-03 02:29:28,781 - WARNING - Duplicate SOC code found: 29-2012, skipping...
2025-01-03 02:29:28,782 - WARNING - Duplicate SOC code found: 29-2099, skipping...
2025-01-03 02:29:28,782 - WARNING - Duplicate SOC code found: 29-2099, skipping...
2025-01-03 02:29:28,782 - WARNING - Duplicate SOC code found: 29-2099, skipping...
2025-01-03 02:29:28,783 - WARNING - Duplicate SOC code found: 29-9099, skipping...
2025-01-03 02:29:28,784 - WARNING - Duplicate SOC code found: 31-9099, skipping...
2025-01-03 02:29:28,784 - WARNING - Duplicate SOC code found: 31-9099, skipping...
2025-01-03 02:29:28,784 - WARNING - Duplicate SOC code found: 33-3021, skipping...
2025-01-03 02:29:28,785 - WARNING - Duplicate SOC code found: 33-3021, skipping...
2025-01-03 02:29:28,785 - WARNING - Duplicate SOC code found: 33-3051, skipping...
2025-01-03 02:29:28,785 - WARNING - Duplicate SOC code found: 33-9099, skipping...
2025-01-03 02:29:28,786 - WARNING - Duplicate SOC code found: 35-3023, skipping...
2025-01-03 02:29:28,789 - WARNING - Duplicate SOC code found: 39-9011, skipping...
2025-01-03 02:29:28,790 - WARNING - Duplicate SOC code found: 41-4011, skipping...
2025-01-03 02:29:28,793 - WARNING - Duplicate SOC code found: 43-5011, skipping...
2025-01-03 02:29:28,795 - WARNING - Duplicate SOC code found: 47-1011, skipping...
2025-01-03 02:29:28,796 - WARNING - Duplicate SOC code found: 47-2152, skipping...
2025-01-03 02:29:28,797 - WARNING - Duplicate SOC code found: 47-4011, skipping...
